t,x,y1,y2
0.0,-45,-60,35
0.02564102564102564,-45,-56,24
0.05128205128205128,-46,-52,16
0.07692307692307693,-46,-49,10
0.10256410256410256,-45,-46,7
0.1282051282051282,-44,-43,5
0.15384615384615385,-43,-41,5
0.1794871794871795,-41,-39,7
0.20512820512820512,-39,-37,10
0.23076923076923075,-36,-36,14
0.2564102564102564,-34,-34,19
0.28205128205128205,-31,-33,24
0.3076923076923077,-28,-32,30
0.3333333333333333,-24,-31,36
0.358974358974359,-21,-31,41
0.3846153846153846,-17,-30,46
0.41025641025641024,-13,-30,51
0.4358974358974359,-9,-30,55
0.4615384615384615,-6,-30,58
0.48717948717948717,-2,-30,59
0.5128205128205128,2,-30,59
0.5384615384615384,6,-30,58
0.5641025641025641,9,-30,55
0.5897435897435898,13,-30,51
0.6153846153846154,17,-30,46
0.641025641025641,21,-31,41
0.6666666666666666,24,-31,36
0.6923076923076923,28,-32,30
0.717948717948718,31,-33,24
0.7435897435897436,34,-34,19
0.7692307692307692,36,-36,14
0.7948717948717948,39,-37,10
0.8205128205128205,41,-39,7
0.8461538461538461,43,-41,5
0.8717948717948718,44,-43,5
0.8974358974358974,45,-46,7
0.923076923076923,46,-49,10
0.9487179487179487,46,-52,16
0.9743589743589743,45,-56,24
1.0,45,-60,35
